2018-04-10T08:52:39.859Z - info: HTTP POST /subscribe statusCode=200, url=/subscribe, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=1102, method=POST, httpVersion=1.1, originalUrl=/subscribe, , responseTime=4
2018-04-10T08:52:53.330Z - info: HTTP POST /push statusCode=200, url=/push, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=59, method=POST, httpVersion=1.1, originalUrl=/push, , responseTime=2
2018-04-10T08:53:25.657Z - info: HTTP POST /push statusCode=200, url=/push, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=61, method=POST, httpVersion=1.1, originalUrl=/push, , responseTime=1
2018-04-10T09:00:16.952Z - info: HTTP POST /push statusCode=200, url=/push, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=60, method=POST, httpVersion=1.1, originalUrl=/push, , responseTime=2
2018-04-10T09:07:39.791Z - info: HTTP POST /subscribe statusCode=200, url=/subscribe, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=1102, method=POST, httpVersion=1.1, originalUrl=/subscribe, , responseTime=4
2018-04-10T09:08:41.024Z - info: HTTP POST /push statusCode=200, url=/push, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=87, method=POST, httpVersion=1.1, originalUrl=/push, , responseTime=1
2018-04-10T09:16:20.125Z - info: HTTP POST /push statusCode=200, url=/push, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=62, method=POST, httpVersion=1.1, originalUrl=/push, , responseTime=1
2018-04-10T09:18:41.274Z - info: HTTP POST /push statusCode=200, url=/push, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=55, method=POST, httpVersion=1.1, originalUrl=/push, , responseTime=2
2018-04-10T09:19:23.312Z - info: HTTP POST /push statusCode=200, url=/push, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=59, method=POST, httpVersion=1.1, originalUrl=/push, , responseTime=1
2018-04-10T09:19:52.331Z - info: HTTP POST /push statusCode=200, url=/push, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.1.10:8585, content-type=application/json, content-length=61, method=POST, httpVersion=1.1, originalUrl=/push, , responseTime=2
